refseq_id	old_name
BB_RS04120	BB_0812
BB_RS04130	BB_0814
BB_RS04135	BB_0815
BB_RS04140	BB_0816
BB_RS04145	BB_0817
BB_RS04150	BB_0818
BB_RS04155	BB_0819
BB_RS04160	BB_0820
BB_RS04165	BB_0821
BB_RS04170	BB_0823
BB_RS04175	BB_0824
BB_RS04180	BB_0825
BB_RS04185	BB_0826
BB_RS04190	BB_0827
BB_RS04195	BB_0828
BB_RS04200	BB_0829
BB_RS04205	BB_0830
BB_RS04210	BB_0831
BB_RS04215	BB_0832
BB_RS04220	BB_0833
BB_RS04225	BB_0834
BB_RS04230	BB_0835
BB_RS04235	BB_0836
BB_RS04240	BB_0837
BB_RS04245	BB_0838
BB_RS04250	BB_0838a
BB_RS04255	BB_0839
BB_RS04260	BB_0840
BB_RS04265	BB_0841
BB_RS04270	BB_0842
BB_RS04275	BB_0843
BB_RS04280	BB_0844
BB_RS04285	BB_0848a
BB_RS07775	BB_0849b
BB_RS04300	BB_0852
BB_RS07380	BB_T01
BB_RS07385	BB_T02
BB_RS07390	BB_T03
BB_RS07395	BB_T0008%2CBB_T04
BB_RS07400	BB_T06
BB_RS07405	BB_T07
BB_RS05435	BB_C01%2CBBC01
BB_RS05440	BB_C02%2CBBC02
BB_RS05445	BB_C03%2CBBC03
BB_RS05450	BB_C05%2CBBC05
BB_RS05455	BB_C06%2CBBC06
BB_RS05460	BB_C07%2CBBC07
BB_RS05465	BB_C10%2CBBC10
BB_RS05470	BB_C11%2CBBC11
BB_RS05475	BB_C12%2CBBC12
BB_RS05610	BB_D01
BB_RS05620	BB_D04
BB_RS05630	BB_D05a
BB_RS05635	BB_D0027
BB_RS05640	BB_D09
BB_RS05645	BB_D10
BB_RS05650	BB_D11
BB_RS05655	BB_D13
BB_RS05660	BB_D14
BB_RS05665	BB_D15
BB_RS05670	BB_D18
BB_RS05680	BB_D21
BB_RS05685	BB_D22
BB_RS07325	BB_U01
BB_RS07330	BB_U02
BB_RS07335	BB_U04
BB_RS07340	BB_U05
BB_RS07345	BB_U06
BB_RS07350	BB_U07
BB_RS07355	BB_U08
BB_RS07360	BB_U09
BB_RS07365	BB_U10
BB_RS07370	BB_U11
BB_RS07375	BB_U12
BB_RS04420	BB_E02
BB_RS04430	BB_E09
BB_RS04435	BB_E16
BB_RS04440	BB_E17
BB_RS04445	BB_E18
BB_RS04450	BB_E19
BB_RS04455	BB_E20
BB_RS04460	BB_E21
BB_RS04465	BB_E22
BB_RS04485	BB_E31
BB_RS05480	BB_B01
BB_RS05485	BB_B02
BB_RS05490	BB_B03
BB_RS05495	BB_B04
BB_RS05500	BB_B05
BB_RS05505	BB_B06
BB_RS05510	BB_B07
BB_RS05515	BB_B08
BB_RS05520	BB_B09
BB_RS05525	BB_B10
BB_RS05530	BB_B11
BB_RS05535	BB_B12
BB_RS05540	BB_B13
BB_RS05545	BB_B14
BB_RS05550	BB_B16
BB_RS05555	BB_B17
BB_RS05560	BB_B18
BB_RS05565	BB_B19
BB_RS05570	BB_B22
BB_RS05575	BB_B23
BB_RS05580	BB_B24
BB_RS05585	BB_B25
BB_RS05590	BB_B26
BB_RS05595	BB_B27
BB_RS05600	BB_B28
BB_RS05605	BB_B29
BB_RS07870	BB_F001
BB_RS05695	BB_F01
BB_RS05700	BB_F03
BB_RS05710	BB_F05
BB_RS05715	BB_F06
BB_RS05720	BB_F08
BB_RS05725	BB_F09
BB_RS05730	BB_F10
BB_RS05740	BB_F12
BB_RS05745	BB_F13
BB_RS05750	BB_F14
BB_RS05755	BB_F17
BB_RS05765	BB_F20
BB_RS05775	BB_F23
BB_RS05780	BB_F24
BB_RS05785	BB_F25
BB_RS05790	BB_F26
BB_RS07890	BB_F30
BB_RS05835	BB_F32
BB_RS05840	BB_F0041
BB_RS04500	BB_G01
BB_RS04505	BB_G02
BB_RS04510	BB_G03
BB_RS04515	BB_G05
BB_RS04520	BB_G06
BB_RS04525	BB_G07
BB_RS04530	BB_G08
BB_RS04535	BB_G09
BB_RS04540	BB_G10
BB_RS04550	BB_G12
BB_RS04555	BB_G13
BB_RS04565	BB_G15
BB_RS04570	BB_G16
BB_RS04575	BB_G17
BB_RS04580	BB_G18
BB_RS04585	BB_G19
BB_RS04590	BB_G20
BB_RS04595	BB_G21
BB_RS04600	BB_G0036
BB_RS04605	BB_G22
BB_RS04610	BB_G23
BB_RS04615	BB_G24
BB_RS04620	BB_G25
BB_RS04625	BB_G26
BB_RS04630	BB_G27
BB_RS04635	BB_G28
BB_RS04640	BB_G29
BB_RS04645	BB_G30
BB_RS04650	BB_G31
BB_RS04655	BB_G32
BB_RS04660	BB_G33
BB_RS04665	BB_G34
BB_RS04305	BB_H02
BB_RS04315	BB_H04
BB_RS04320	BB_H06
BB_RS04335	BB_H09
BB_RS04345	BB_H13
BB_RS04350	BB_H18
BB_RS04360	BB_H26
BB_RS04365	BB_H27
BB_RS04370	BB_H28
BB_RS04375	BB_H29
BB_RS07790	BB_H30
BB_RS04380	BB_H32
BB_RS04385	BB_H33
BB_RS04390	BB_H34
