Isolate,MLST,RST_Type,Source,Origin,Location,skin/blood_pairs,Disseminated,method,OspC_Type,AT_type
K90,59,1.0,,US,CT,,L,hybrid,B,AT2
URI89,1,1.0,,US,RI,,D,illumina,A,AT1
MR614,11,3.0,,NY,,,D,pacbio,C,
UMA8,1,1.0,,US,Nantucket,,D,illumina,A,AT1
URI19,59,1.0,,US,RI,,L,illumina,B,AT2
UMA13,59,1.0,,US,Nantucket,,L,illumina,B,
UMA2,8,2.0,,US,Nantucket,,L,illumina,F,AT6
BL091_B31E2_erpP,1,,culture,US,NY,,,nanopore,A,AT1
K15,3,2.0,,US,CT,,D,hybrid,K,AT11
K74,1,1.0,,US,RI,,D,hybrid,A,AT1
K62,4,2.0,,US,RI,,L,hybrid,H,AT8
K66,1,1.0,,US,RI,,D,hybrid,A,AT1
K10,1,1.0,,US,CT,,D,hybrid,A,AT1
URI84,59,2.0,,US,RI,,L,illumina,B,
URI20,14,3.0,,US,RI,,L,illumina,G,AT7
K18,3,2.0,,US,RI,,L,hybrid,K,AT11
K72,3,2.0,,US,CT,,L,hybrid,K,AT11
EU51_B192411,24,,,,,,,hybrid,L,AT10
K30,16,3.0,,US,RI,,L,hybrid,I,AT9
K12,3,2.0,,US,RI,,D,hybrid,K,AT11
K7,1,1.0,,US,RI,,L,hybrid,A,AT1
K80,19,3.0,,US,CT,,L,hybrid,E,AT5
K89,16,,,,,,,hybrid,Ia,AT9
K16,9,2.0,,US,RI,,D,hybrid,N,AT13
EU14_B89613,545,,,,,,,hybrid,Bb_o,AT2
K17,3,2.0,,US,RI,,L,hybrid,K,AT11
K70,3,2.0,,US,CT,,D,hybrid,K,AT11
K57,1,1.0,,US,RI,,D,hybrid,A,AT1
K76,4,2.0,,US,CT,,D,hybrid,H,AT8
K3,1,1.0,,US,RI,,D,hybrid,A,AT1
K71,1,1.0,,US,RI,,L,hybrid,A,AT1
K60,1,1.0,,US,RI,,D,hybrid,A,AT1
K82,3,2.0,,US,RI,,L,hybrid,K,AT11
K11,3,2.0,,US,CT,,D,hybrid,K,AT11
K59,3,2.0,,US,RI,,L,hybrid,K,AT11
K69,1,1.0,,US,CT,,L,hybrid,A,AT1
